ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RATrue_deg,RARateCosDec_deg_day,DecTrue_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,H_filter,GS,visitTime,visitExposureTime,optFilter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg,H_r,trailedSourceMagTrue,PSFMagTrue,fiveSigmaDepth_mag,astrometricSigma_deg,trailedSourceMagSigma,SNR,PSFMagSigma,trailedSourceMag,PSFMag,RA_deg,Dec_deg,object_linked,date_linked_MJD,Obj_Sun_LTC_km
A_M_1.5999999999999999_1.0_42,121019,61219.337706415805,2461219.838079002,257897835.3135976,-31.994398442350416,343.89544773297297,0.388847127324759,-9.13480468369502,0.1680831387579746,261320464.67195112,-209315060.9298297,-101061761.04658929,5.939523612824488,31.070883308027568,14.978531478848604,16685705.296432188,-138683809.37781122,-60118455.50200799,29.3347629964408,3.234534673918772,1.2551353543701258,23.28404976308308,COM,1.835392,1.964829,2.303,0.693,5.136,61301.575243,60796.001439,18.78,0.15,33.6,29.2,i,0.7966858711928341,0.9059438822297251,23.45958090681876,343.71879948695954,-10.55895641645534,-171.58758957832322,19.11,22.908299702067232,22.977382622898613,23.420075153772437,1.8289504194602688e-05,0.1385834335851141,6.900135740363935,0.14694229774121476,22.65869533125412,23.08951538611062,343.89547697284706,-9.134794270476673,True,61328.0,349735127.6813078
A_M_1.5999999999999999_1.0_285,128270,61230.32023149573,2461230.8206039984,381888941.206893,-62.486127960508114,322.4260860705936,0.337767160891685,-15.561995396882656,0.1148006469402262,335456769.8654425,-357941980.9187719,-160373278.51084378,-1.7038058906607334,64.02867352740499,28.66086266523813,43879822.86243391,-133608910.1079462,-57919773.28475813,28.24017966698887,8.127260287508696,3.368905533403661,9.240252735649149,COM,2.109092,11.48586,0.675,2.073,3.191,61298.588926,60796.001439,18.43,0.15,33.6,29.2,r,1.2022906067461663,1.399380300177818,23.761465034495373,322.75673982801396,-13.899844920136461,48.62091715908831,18.43,23.783117424596387,23.804600754229764,23.67624152952801,4.5433136769550265e-05,0.22149953821681198,4.33310827516627,0.22545214937135616,23.524346168081582,23.372100219493266,322.4261083746325,-15.561996599834071,True,61275.0,516113645.05593884
A_M_1.5999999999999999_1.0_285,130009,61232.1830737696,2461232.683445998,371904688.8295736,-61.75804691297399,323.1009929452304,0.3507794910379578,-15.343552072727835,0.1190806363640381,335178220.64785075,-347629952.62638354,-155757350.51692694,-1.757253984252325,64.08490528413883,28.68605701290772,48368603.72766759,-132294973.334018,-57349078.970901646,28.16143071622626,8.681298137681846,3.720613702199029,9.121297499892648,COM,2.109092,11.48586,0.675,2.073,3.191,61298.588926,60796.001439,18.43,0.15,33.6,29.2,r,0.789115321461271,0.8967339677144415,24.265377199093624,322.6271964534123,-16.25276852955496,158.67074158929674,18.43,23.68389130773914,23.73855442220062,24.255727484842698,1.6913338987843223e-05,0.12966865102590602,7.5032578413598,0.1358386936759738,23.710868478347205,23.85418860134301,323.1010026093736,-15.343535101804347,True,61275.0,507396665.1444743
A_M_1.5999999999999999_1.0_285,132976,61236.412511574206,2461236.912883997,349865562.6481351,-58.79392773852108,324.71941491784423,0.381447944951177,-14.807719297511378,0.1348463108951381,334512314.34576887,-324183143.85497266,-145261943.55409265,-1.8891247479358395,64.21711796346584,28.745297130978138,58390688.44534808,-128818572.27217709,-55844697.97207428,26.959670284815296,10.793819806275453,4.508645155236583,8.839477239592142,COM,2.109092,11.48586,0.675,2.073,3.191,61298.588926,60796.001439,18.43,0.15,33.6,29.2,r,1.2206386254223665,1.4217014907814678,23.714059837079596,325.7188986191979,-14.21930573905654,-15.581348884013378,18.43,23.455099964024086,23.481739786468655,23.69985166971272,3.3769021096777254e-05,0.1662133695898563,5.900576860499034,0.1699773142562125,23.606985128891832,23.40161777731876,324.7194474800197,-14.80774564833612,True,61275.0,487949004.9726188
A_M_1.5999999999999999_1.0_285,135931,61241.34696167726,2461241.847333995,325311491.61416805,-55.89731499736435,326.7879909446772,0.4220679399504261,-14.101030864377286,0.153926192392266,333670397.6012239,-296765531.48579794,-132989071.90024634,-2.063617841392423,64.37912513498068,28.81789320873773,69699869.95064011,-123949027.9206721,-53732632.39131945,26.04579703863756,12.836781229033823,5.39248836699243,8.506337307884936,COM,2.109092,11.48586,0.675,2.073,3.191,61298.588926,60796.001439,19.16,0.15,33.6,29.2,g,1.0687838862646062,1.236963365285409,24.35458719007344,325.54544355292563,-13.513930542436965,-10.436358942236437,18.43,23.91327837232754,23.956013715787137,24.324566621029252,2.5968090068450395e-05,0.14696128530581393,6.637299494282099,0.1523710173530545,23.672161111858962,23.984171997425825,326.78805838528785,-14.101015795779908,True,61275.0,465931119.54268074
A_M_1.5999999999999999_1.0_285,135971,61241.36622321277,2461241.866595995,325218496.9529399,-55.843678006622746,326.7963784781259,0.422597944587346,-14.098063602380156,0.1541669686578355,333666962.0092518,-296658368.8660701,-132941102.92060816,-2.064346640643505,64.37977324252269,28.818183642722524,69743172.2387338,-123927653.83524355,-53723655.104888745,25.99273501329042,12.848585847785642,5.395984219351858,8.50495058699971,COM,2.109092,11.48586,0.675,2.073,3.191,61298.588926,60796.001439,18.43,0.15,33.6,29.2,r,0.9756502211488564,1.1236620695241561,24.02747500620659,325.54544355292563,-13.513930542436965,-10.436358942236437,18.43,23.182207220584516,23.233699108969244,23.996735809864752,1.6773457022520292e-05,0.1051861251373997,9.385360394231128,0.10992654515463199,23.015458544251008,23.0261702607369,326.79636671566834,-14.098026843592377,True,61275.0,465846719.64124477
A_M_1.5999999999999999_1.0_285,136764,61243.24865737901,2461243.7490299945,316197365.5394872,-54.91642578366841,327.64428113303006,0.4397666754026822,-13.801452854479807,0.1616649698019188,333325253.45526075,-286180374.8809315,-128250857.71750133,-2.1374802845673506,64.443672349121,28.846819103181097,73931923.09535815,-121845435.16417548,-52819420.45689589,25.80559092150059,13.500110693974932,5.721504422605737,8.380276634389615,COM,2.109092,11.48586,0.675,2.073,3.191,61298.588926,60796.001439,19.16,0.15,33.6,29.2,g,1.4539520101057588,1.7055377251894877,24.036101290192416,326.100507249303,-12.942858460753675,173.16166888523188,18.43,23.807486560435414,23.83235441159304,23.941740569555872,4.432786467102292e-05,0.1820649035994523,5.355053206844227,0.18588850179352862,23.684988170146934,23.811996402611314,327.6442587122742,-13.80146306450551,True,61275.0,457660588.2783431
A_M_1.5999999999999999_1.0_42,136875,61243.29997812726,2461243.8003509943,199493323.04051596,-24.43742958875525,353.7010476330362,0.4046303965665747,-4.768988522091575,0.1956462617741673,271648585.46563613,-143597223.39006552,-69379601.44908816,3.918170803959047,32.39498472856304,15.61802826223304,74046086.86089143,-121785361.56720832,-52794030.408870704,25.683800059280447,13.589962705452512,5.730592470492281,22.72804701753964,COM,1.835392,1.964829,2.303,0.693,5.136,61301.575243,60796.001439,19.11,0.15,33.6,29.2,r,0.9319256320691672,1.0704691387702765,24.110836683362958,353.23407764229586,-6.204833571201677,-178.12902158504434,19.11,22.43666693987032,22.493041951402127,24.05942728355811,8.227400473360378e-06,0.052828411146503135,19.08804585363096,0.05544055360906913,22.41729333835642,22.559475695947402,353.7010451731822,-4.768980263639499,True,61328.0,315002612.12893414
A_M_1.5999999999999999_1.0_42,136926,61243.32428284175,2461243.8246549945,199442078.6173981,-24.3694134708009,353.7109115047607,0.4043078431324284,-4.76423174785857,0.1957939714284883,271656811.225902,-143529191.39325598,-69346802.36919923,3.915748325110733,32.396264937021535,15.618646803408351,74099952.53164208,-121756791.96652111,-52781992.40085413,25.61961454062074,13.619434292915548,5.734911957795202,22.72636682829727,COM,1.835392,1.964829,2.303,0.693,5.136,61301.575243,60796.001439,18.78,0.15,33.6,29.2,i,2.007353760723397,2.378775864627004,22.806148837976306,353.23407764229586,-6.204833571201677,-178.12902158504434,19.11,22.105843169616975,22.117740087948345,22.753778272117195,3.7878416841905854e-05,0.11615411997155706,8.761870244798022,0.11734053327000199,22.29070158816942,21.978810376431323,353.710891150988,-4.764256960720002,True,61328.0,314971476.2740589
A_M_1.5999999999999999_1.0_42,136946,61243.333940017794,2461243.8343129945,199421754.9192001,-24.34193790751828,353.7148295007412,0.4042433614402608,-4.762340482616178,0.1958534645229823,271660078.5912236,-143502155.88249937,-69333768.20921929,3.91478545314853,32.396773607135344,15.618892570911076,74121319.92587993,-121745423.27446306,-52777206.17989001,25.593377972319335,13.628632448481335,5.736630131756599,22.72569724428693,COM,1.835392,1.964829,2.303,0.693,5.136,61301.575243,60796.001439,18.78,0.15,33.6,29.2,i,1.8854889854904635,2.2305218801587148,22.864275400830095,353.31874317619224,-3.066165047358142,179.15301827589468,19.11,22.10551616627692,22.119024431406775,22.766232144876177,3.525537649549455e-05,0.11510654572668008,8.83314152587066,0.11644275268495297,21.864729857809902,22.366328331231433,353.7148246605205,-4.762420300104565,True,61328.0,314959106.0077557
