  2483,"-          ","02483   ",10.80,+0.15,2455285.9632130, 12, 13, 13, 13,"DVBI", 35.688,  0.253,0.067,0.012,0.201,0.022,0.862,0.011,"-","Gr12a",""
  2959,"-          ","02959   ",11.20,+0.15,2455349.9358705, 11,  0, 12, 12,"DVBI", 32.783,  0.507,0.054,0.012,0.137,0.018,0.720,0.019,"-","Gr12a",""
  3134,"-          ","03134   ",10.70,+0.15,2455329.6914080, 11, 11, 12, 12,"DVBI", 50.389,  0.596,0.037,0.008,0.123,0.012,0.812,0.015,"-","Gr12a",""
  3202,"-          ","03202   ",11.00,+0.15,2455212.3878050, 10, 10, 10, 10,"DVBI", 35.910,  0.372,0.055,0.009,0.125,0.014,0.821,0.013,"-","Gr12a",""
  3254,"-          ","03254   ",11.00,+0.15,2455362.3715365, 14,  0, 14, 14,"DVBI", 31.104,  0.442,0.073,0.014,0.159,0.016,0.822,0.020,"-","Gr12a",""
  3290,"-          ","03290   ",11.80,+0.15,2455253.9082660,  4,  0,  9,  9,"DVBI", 10.184,  0.301,0.324,0.055,0.609,0.087,0.699,0.044,"-","Gr12a",""
  3415,"-          ","03415   ",10.80,+0.15,2455335.6462935, 12,  0, 12, 12,"DVBI", 36.582,  0.615,0.063,0.010,0.123,0.014,0.824,0.020,"-","Gr12a",""
  3514,"-          ","03514   ",11.60,+0.15,2455406.0615080,  9,  9,  9,  9,"DVBI", 22.039,  0.286,0.084,0.015,0.162,0.019,0.984,0.022,"-","Gr12a",""
  3571,"-          ","03571   ",10.90,+0.15,2455214.1757650, 11,  0, 11, 11,"DVBI", 34.898,  0.578,0.063,0.010,0.144,0.018,0.732,0.020,"-","Gr12a",""
  3577,"-          ","03577   ",10.40,+0.15,2455220.7925095, 19, 19, 17, 19,"DVBI", 49.135,  0.290,0.051,0.009,0.114,0.012,0.860,0.008,"-","Gr12a",""
  3655,"-          ","03655   ",10.80,+0.15,2455377.2872265, 14, 14, 14, 14,"DVBI", 36.657,  0.269,0.063,0.013,0.109,0.013,0.855,0.010,"-","Gr12a",""
  3694,"-          ","03694   ",10.40,+0.15,2455312.7573620, 11, 11, 13, 13,"DVBI", 46.032,  0.470,0.058,0.008,0.115,0.011,0.823,0.015,"-","Gr12a",""
  3843,"-          ","03843   ",10.60,+0.15,2455269.2921370, 12, 14, 14, 14,"DVBI", 30.769,  0.415,0.108,0.017,0.154,0.018,1.046,0.025,"-","Gr12a",""
  3923,"-          ","03923   ",11.50,+0.15,2455316.3298330, 12, 15, 15, 15,"DVBI", 29.870,  0.204,0.050,0.010,0.069,0.012,0.729,0.009,"-","Gr12a",""
  3990,"-          ","03990   ",10.80,+0.15,2455317.8166335,  9, 11, 12, 12,"DVBI", 35.675,  0.367,0.067,0.010,0.116,0.012,0.800,0.012,"-","Gr12a",""
  4196,"-          ","04196   ",10.70,+0.15,2455382.4801745, 10, 11, 11,  9,"DVBI", 38.066,  0.503,0.064,0.013,0.139,0.015,0.781,0.015,"-","Gr12a",""
  4196,"-          ","04196   ",10.70,+0.15,2455215.2668020, 11, 11, 11, 11,"DVBI", 36.714,  0.423,0.069,0.013,0.129,0.014,0.863,0.015,"-","Gr12a",""
  4230,"-          ","04230   ",11.60,+0.15,2455275.6093050,  0,  0,  8,  9,"DVB-", 28.461,  0.562,0.050,0.008,0.095,0.016,0.801,0.027,"-","Gr12a",""
  4255,"-          ","04255   ",13.50,+0.15,2455405.8303895,  0,  0, 13, 13,"DVB-", 15.111,  0.285,0.031,0.008,0.059,0.015,0.753,0.024,"-","Gr12a",""
  4255,"-          ","04255   ",13.50,+0.15,2455230.2207510,  0,  0, 11, 11,"DVB-", 15.407,  0.297,0.030,0.006,0.056,0.012,0.723,0.024,"-","Gr12a",""
  4317,"-          ","04317   ",10.90,+0.15,2455222.5129115,  9, 11, 11, 11,"DVBI", 38.606,  0.418,0.052,0.008,0.114,0.011,0.823,0.015,"-","Gr12a",""
  4446,"-          ","04446   ",11.00,+0.15,2455212.3877415,  9,  0, 10, 10,"DVBI", 28.645,  0.468,0.086,0.018,0.126,0.018,0.800,0.024,"-","Gr12a",""
  4495,"-          ","04495   ",11.40,+0.15,2455344.5428685,  0,  0, 16, 16,"DVB-", 24.429,  0.349,0.082,0.016,0.155,0.030,0.737,0.021,"-","Gr12a",""
  5368,"-          ","05368   ",11.00,+0.15,2455243.0230510, 11, 12, 12, 12,"DVBI", 34.807,  0.415,0.058,0.011,0.119,0.016,0.821,0.017,"-","Gr12a",""
  5439,"-          ","05439   ",11.70,+0.15,2455321.6223220,  0,  0, 10, 11,"DVB-", 22.099,  0.514,0.076,0.012,0.144,0.023,0.833,0.031,"-","Gr12a",""
  5603,"-          ","05603   ",10.60,+0.15,2455295.3245870, 11, 12, 14, 14,"DVBI", 45.677,  0.387,0.049,0.010,0.096,0.013,0.870,0.014,"-","Gr12a",""
  5928,"-          ","05928   ",11.40,+0.15,2455210.1712240,  9, 10, 10, 10,"DVBI", 30.402,  0.365,0.053,0.011,0.128,0.016,0.745,0.015,"-","Gr12a",""
  6124,"-          ","06124   ",12.10,+0.15,2455327.8064920,  0,  0, 10, 10,"DVB-", 19.592,  0.355,0.067,0.011,0.126,0.022,0.724,0.023,"-","Gr12a",""
  6984,"-          ","06984   ",10.60,+0.15,2455282.1232755, 13, 12, 13, 14,"DVBI", 48.053,  0.305,0.044,0.010,0.114,0.013,0.854,0.010,"-","Gr12a",""
  7027,"-          ","07027   ",11.70,+0.15,2455298.0068345, 13, 13, 12, 13,"DVBI", 23.833,  0.218,0.065,0.010,0.127,0.013,0.877,0.014,"-","Gr12a",""
  7174,"-          ","07174   ",11.40,+0.15,2455383.9997575, 10, 10, 11, 11,"DVBI", 25.526,  0.328,0.075,0.013,0.124,0.016,0.840,0.019,"-","Gr12a",""
  7174,"-          ","07174   ",11.40,+0.15,2455215.9293445,  6,  0,  8,  8,"DVBI", 25.668,  0.547,0.074,0.011,0.112,0.017,0.768,0.028,"-","Gr12a",""
  7284,"1989 VW    ","07284   ",11.50,+0.15,2455284.0129055,  0,  0,  3,  7,"DV--", 23.411,  1.537,0.080,0.020,0.151,0.038,0.850,0.120,"-","Gr12a",""
  7394,"-          ","07394   ",11.10,+0.15,2455206.8623325,  6,  6,  6,  6,"DVBI", 32.471,  0.484,0.061,0.011,0.151,0.019,0.785,0.019,"-","Gr12a",""
  7458,"1984 DE1   ","07458   ",11.90,+0.15,2455391.8396135,  0,  0, 14, 14,"DVB-", 24.718,  0.384,0.050,0.010,0.095,0.020,0.778,0.020,"-","Gr12a",""
  8086,"-          ","08086   ",11.40,+0.15,2455352.9789835,  0,  0, 14, 14,"DVB-", 25.629,  0.422,0.074,0.015,0.141,0.029,0.787,0.020,"-","Gr12a",""
  8130,"-          ","08130   ",11.60,+0.15,2455284.9378240,  0,  0,  8,  8,"DVB-", 23.617,  0.319,0.073,0.012,0.138,0.023,0.772,0.019,"-","Gr12a",""
  8376,"1992 OZ9   ","08376   ",11.50,+0.15,2455209.6754950,  0,  0, 11, 11,"DVB-", 27.689,  0.430,0.058,0.010,0.110,0.019,0.783,0.020,"-","Gr12a",""
  8550,"-          ","08550   ",12.00,+0.15,2455373.4511810, 14, 14, 14, 14,"DVBI", 24.725,  0.124,0.046,0.009,0.049,0.006,0.812,0.007,"-","Gr12a",""
  8913,"1995 YB2   ","08913   ",12.50,+0.15,2455204.0515085,  0,  0,  6,  5,"DVB-", 19.853,  0.780,0.045,0.010,0.085,0.018,0.900,0.055,"-","Gr12a",""
  8915,"-          ","08915   ",11.30,+0.15,2455214.4399930, 10,  0, 10, 10,"DVBI", 30.135,  0.450,0.059,0.010,0.141,0.016,0.755,0.019,"-","Gr12a",""
  9661,"-          ","09661   ",11.30,+0.15,2455332.8705840,  0,  0, 12, 12,"DVB-", 27.664,  0.564,0.070,0.013,0.132,0.024,0.868,0.027,"-","Gr12a",""
