     0,"-          ","29P/Schwassmann-Wachmann 1","0029P   ", 9.00,+0.15,2455320.1664029,  0,  0, 12, 12,"DVB-", 46.000, 13.000,0.033,0.015,-.999,-.999,0.640,0.290,"S","Bau13"
     0,"-          ","167P/CINEOS 1             ","0167P   ", 9.70,+0.15,2455371.5577811,  0,  0,  0, 14,"DV--", 66.170, 22.900,0.053,0.019,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2011 KP36  ","C/Spacewatch (2011 KP36)  ","CK11K36P", 9.40,+0.15,2455248.3245301,  0,  0,  0, 13,"DV--", 55.100, 19.400,0.101,0.062,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2005 VJ119 ","-                         ","K05VB9J ",10.60,+0.15,2455309.9020533,  0,  0,  0, 25,"DV--", 28.500,  6.900,0.126,0.060,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2007 VH305 ","-                         ","K07VU5H ", 8.21,+0.15,2455254.7687059,  0,  0, 14, 14,"DV--", 23.800,  8.000,0.070,0.036,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2008 HY21  ","-                         ","K08H21Y ",12.10,+0.15,2455302.7953209,  0,  0, 13, 13,"DVB-", 24.000,  1.500,0.044,0.010,-.999,-.999,1.220,0.094,"S","Bau13"
     0,"2008 JS14  ","-                         ","K08J14S ",13.20,+0.15,2455218.4195683,  0,  0, 14, 14,"DVB-", 14.500,  1.800,0.044,0.019,-.999,-.999,1.046,0.186,"S","Bau13"
     0,"2010 BK118 ","-                         ","K10BB8K ",10.20,+0.15,2455227.0507687,  0,  0, 14, 14,"DVB-", 46.400,  1.800,0.068,0.013,-.999,-.999,0.821,0.043,"S","Bau13"
     0,"2010 BL4   ","-                         ","K10B04L ",11.90,+0.15,2455306.6747377,  0,  0,  0, 18,"DV--", 15.700,  3.200,0.114,0.052,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2010 CR140 ","-                         ","K10CE0R ",15.50,+0.15,2455242.9150431,  0,  0, 46, 46,"DVB-",  7.500,  1.400,0.020,0.010,-.999,-.999,1.111,0.283,"S","Bau13"
