ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RATrue_deg,RARateCosDec_deg_day,DecTrue_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,H_filter,GS,visitTime,visitExposureTime,optFilter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg,H_r,trailedSourceMagTrue,PSFMagTrue,fiveSigmaDepth_mag,astrometricSigma_deg,trailedSourceMagSigma,SNR,PSFMagSigma,trailedSourceMag,PSFMag,RA_deg,Dec_deg,object_linked,date_linked_MJD,Obj_Sun_LTC_km
A_M_3.3999999999999995_1.0_2248,86198,61157.30780036763,2461157.8081730176,42091799.34426967,-44.278969288752606,222.8935329419379,-1.8130695931028264,-20.10315012381085,0.2618325517308366,-149688277.29825243,-109452117.59618656,-50250677.60079292,37.11546255362143,16.963355249858335,7.770726597503912,-120729745.16427244,-82548279.36544514,-35783249.45555554,17.707122287928577,-22.112977225556268,-9.539960218327453,8.085810687426783,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,26.25,0.15,33.6,29.2,g,0.9397674977924224,1.0800091214019738,24.483229442745902,221.74904404917675,-20.266891191724355,-53.47989384688186,25.52,24.621576351104792,24.621576351104792,24.47116609553645,3.602918537077648e-05,0.2241851007767059,4.360229249735048,0.2241851007767059,24.408292560326277,24.408292560326277,222.89349415566642,-20.103180380883906,True,61163.0,192123598.25421447
A_M_3.3999999999999995_1.0_2248,86249,61157.3325723364,2461157.8329450176,41997086.56123201,-44.214586857367244,222.8456543782941,-1.8168848574534309,-20.096616077796384,0.2656663713015543,-149608820.8940587,-109415800.85862955,-50234041.29774461,37.12146198244213,16.967742405696477,7.772740816958926,-120691821.78116934,-82595534.77567808,-35803664.68531858,17.728705945055474,-22.04444807442294,-9.537007912515843,8.04057625370588,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,25.52,0.15,33.6,29.2,r,1.2384003198872302,1.4433093915903044,23.72481106010857,221.74904404917675,-20.266891191724355,-53.47989384688186,25.52,23.88379298454775,23.88379298454775,23.714473177415883,4.8239592438559626e-05,0.22769919979827233,4.285755463112717,0.22769919979827233,23.805485712116795,23.805485712116795,222.84565303559444,-20.09669187875819,True,61163.0,192036651.89736393
A_M_3.3999999999999995_1.0_2248,92056,61163.22152540159,2461163.721898017,21110484.66266005,-34.62730869390214,200.5467915156432,-6.948161261207701,-15.601552441658283,1.8972295820307297,-130329594.257802,-100491850.47818094,-46145767.57834806,38.706345140848654,18.15791626537137,8.319236498938636,-111290364.81664954,-93355646.62475447,-40468188.909417085,19.91328340259169,-20.52854140068386,-8.786542592231884,16.451149150802728,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,24.84,0.15,33.6,29.2,y,0.7691596803617972,0.8724570320703128,22.096281958173005,200.50738148953977,-13.888209344677188,65.7449532044396,25.52,21.762586571814282,21.762586571814282,22.00616287791113,2.073754232920308e-05,0.16143505096467836,6.2379155793257715,0.16143505096467836,21.604154354748676,21.604154354748676,200.54676609749276,-15.601577895545516,True,61163.0,170920586.873926
A_M_3.3999999999999995_1.0_2248,92104,61163.24344710426,2461163.7438200167,21045014.43502225,-34.49541586135235,200.38826829365095,-6.982634589173122,-15.55974228383115,1.9171978153712184,-130256267.41395772,-100457449.5210009,-46130006.420132086,38.71291127868716,18.162978976905787,8.321561489979583,-111252607.96709225,-93394480.88860068,-40484828.451672144,19.95436506981303,-20.47705380893853,-8.783685127697902,16.61139850782309,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,24.84,0.15,33.6,29.2,y,0.7766040614991279,0.8815134568115911,22.04362156803978,200.08132164411828,-17.013098050918693,61.08712125108236,25.52,21.76012663129798,21.76012663129798,21.997213941186942,2.1056040908221204e-05,0.16231992322253735,6.201319809418994,0.16231992322253735,21.47632290285238,21.47632290285238,200.3882146969098,-15.559759409102446,True,61163.0,170840193.91584152
A_M_3.3999999999999995_1.0_2248,92107,61163.244832849865,2461163.745205017,21040886.47060127,-34.48720550894967,200.3782279645233,-6.984766445077477,-15.557086094099386,1.9184549554403447,-130251634.31386568,-100455275.79690295,-46129010.50536167,38.71332630516182,18.163299013370956,8.321708463099911,-111250220.0049188,-93396931.0515991,-40485879.5317867,19.95674924402473,-20.473653346382577,-8.78350402173043,16.621552442349593,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,24.84,0.15,33.6,29.2,y,0.7665038812347552,0.8692261328889966,22.046754402012017,200.50738148953977,-13.888209344677188,65.7449532044396,25.52,21.75997191081142,21.75997191081142,21.96512476486776,2.138712592757178e-05,0.16674172033922086,6.024277835510253,0.16674172033922086,21.819898693573293,21.819898693573293,200.37824367223723,-15.557072682608743,True,61163.0,170835114.326852
A_M_3.3999999999999995_1.0_2248,93132,61164.24684545773,2461164.7472180165,18229881.785861235,-29.58515400951178,192.1481804460012,-9.166306005205428,-13.202041321545986,2.8789177664551406,-126886536.31615244,-98872446.9044105,-45403809.52941958,39.019562053358335,18.400653282801176,8.430714830547824,-109535895.80739214,-95137528.28239948,-41240367.834235616,20.331698857605478,-20.14962908525043,-8.647774969256428,25.07426197937015,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,25.19,0.15,33.6,29.2,i,0.9122542048374901,1.046537962089404,23.047059710583607,193.47826796449186,-13.468892011306526,-13.643737624619526,25.52,22.015538404836676,22.015538404836676,23.01904542210986,1.260383434351958e-05,0.08442215308600923,12.367276361374676,0.08442215308600923,22.133805832949133,22.133805832949133,192.14818167766572,-13.202049051510462,True,61163.0,167145026.17475507
A_M_3.3999999999999995_1.0_2248,93191,61164.27458041636,2461164.7749530165,18159228.27403441,-29.376547587760555,191.8863387654739,-9.219026377556595,-13.121713195280202,2.913562947516138,-126793014.02162598,-98828340.9343008,-45383601.27851573,39.02821209177714,18.407392826876546,8.433810133572488,-109487124.66343908,-95185727.37278876,-41261086.09089388,20.37175588800747,-20.077357648721534,-8.644063318162404,25.34662225588938,COM,0.069671,1.027026,1.306,2.907,5.963,61197.28479,60796.001439,25.02,0.15,33.6,29.2,z,0.9467453911678676,1.088498042783294,22.573824359112045,193.47826796449186,-13.468892011306526,-13.643737624619526,25.52,21.84387457809457,21.84387457809457,22.50890749758721,1.7505568749294957e-05,0.11285344155331811,9.129423172414683,0.11285344155331811,21.700041731636233,21.700041731636233,191.88634531104694,-13.121735991912093,True,61163.0,167042451.61491713
A_M_3.3999999999999995_1.0_4463,96618,61171.3667683718,2461171.867141016,31989849.096859623,-49.6758714897336,265.5432082741193,1.552668900824279,-33.63992521377906,-1.2569219206786155,-98537025.29104257,-133241388.9652286,-63969693.27731706,36.378018144477466,27.51203617542932,13.141988252848858,-96467472.20154552,-106689237.9071615,-46248218.46738123,22.817104382110323,-17.426031401113775,-7.615665787435383,30.91207596011456,COM,0.133727,1.114388,2.363,5.282,4.142,61206.68609,60796.001439,25.34,0.15,33.6,29.2,g,0.8133104411548834,0.9261684198964518,24.439516154411773,263.8810153907255,-33.7892093303318,38.27939366688115,24.61,23.688847994872212,23.688847994872212,24.40494325077306,1.4450552733979698e-05,0.10802961323561239,9.558647444416671,0.10802961323561239,23.66066540429563,23.66066540429563,265.54320035514894,-33.63993141085292,True,61174.0,177637087.1878531
A_M_3.3999999999999995_1.0_4463,96628,61171.37140490588,2461171.8717770157,31969951.528519765,-49.66452383868257,265.5518622353925,1.5554007575670084,-33.645753461812554,-1.2574236174938076,-98522451.45914564,-133230366.9289871,-63964428.25490208,36.378952884345885,27.51330023926725,13.142595159967447,-96458333.32568252,-106696215.37829876,-46251268.78088064,22.814433164235005,-17.41340621844969,-7.614944532519284,30.918921335149022,COM,0.133727,1.114388,2.363,5.282,4.142,61206.68609,60796.001439,25.34,0.15,33.6,29.2,g,0.6678218760855036,0.7491750317341892,24.668392811050488,267.2277118806165,-33.26749720648393,37.41327552253484,24.61,23.687469418311377,23.687469418311377,24.62693532321213,9.926633865292222e-06,0.08919674627437625,11.679219888525083,0.08919674627437625,23.741747782196466,23.741747782196466,265.5518655056684,-33.64575843956136,True,61174.0,177618839.64131948
A_M_3.3999999999999995_1.0_4463,96669,61171.39131085351,2461171.8916830155,31884566.33739409,-49.617269931159,265.5892053730756,1.5677192457378564,-33.67080629907947,-1.2597356967235058,-98459870.26548,-133183034.89053412,-63941818.60338644,36.382968161862536,27.51873110310707,13.145202650246375,-96419107.39372376,-106726118.65041272,-46264362.89029964,22.79938571715239,-17.360747290421223,-7.611837790379009,30.9484626500088,COM,0.133727,1.114388,2.363,5.282,4.142,61206.68609,60796.001439,24.61,0.15,33.6,29.2,r,1.12803145182427,1.3090406956499634,23.76529173919961,263.8810153907255,-33.7892093303318,38.27939366688115,24.61,22.951547822819688,22.951547822819688,23.727097567828753,1.8851039880152823e-05,0.1026662560621856,10.083273691234519,0.1026662560621856,22.870078901710386,22.870078901710386,265.58920980224684,-33.67079840282116,True,61174.0,177540482.71213177
