ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RATrue_deg,RARateCosDec_deg_day,DecTrue_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,H_filter,GS,visitTime,visitExposureTime,optFilter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg,H_r,trailedSourceMagTrue,PSFMagTrue,fiveSigmaDepth_mag,astrometricSigma_deg,trailedSourceMagSigma,SNR,PSFMagSigma,trailedSourceMag,PSFMag,RA_deg,Dec_deg,object_linked,date_linked_MJD,Obj_Sun_LTC_km
A_M_2.1999999999999997_1.0_262,110436,61198.0979200826,2461198.5982930087,104786484.36416212,-39.47573335596269,258.2705417312435,-0.5334974932638229,-28.7426449458484,-0.0871235773511922,-55377841.95144837,-225115412.4795264,-108979423.77466744,24.83005962139836,30.02543720775219,14.452488866868878,-36700387.48375602,-135158336.17912766,-58590095.30630704,28.672882591195748,-7.027953557366757,-2.9139415553460686,4.022337996781141,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,23.08,0.15,33.6,29.2,r,1.0240468404320169,1.1825387353187555,23.974105142851055,258.71188505837785,-29.96511963652939,99.82073823387918,23.08,23.849929541742323,23.849929541742323,23.94905694189346,3.1317068445077804e-05,0.18224784296815683,5.471452285043415,0.18224784296815683,23.780528950860237,23.780528950860237,258.27051988054893,-28.742651220843335,True,61220.0,256164340.0656802
A_M_2.1999999999999997_1.0_262,110631,61205.99931775635,2461206.4996900065,79181436.18869232,-35.94896259630374,252.0237071543452,-0.9172841321993018,-29.37460783785482,-0.0826386896077817,-38323519.15043059,-204168938.638996,-98895742.45437749,25.1243328265362,31.38304913843881,15.10990703706496,-17028136.68044944,-138536099.32279417,-60055854.12221561,29.213511435291885,-3.5598422290412364,-1.3723735114868305,7.603618929499993,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,23.81,0.15,33.6,29.2,g,1.281222025381704,1.4954039238220243,23.99333312567244,253.3127906814862,-30.415030437340054,-123.84295075070672,23.08,23.924487237399862,23.924487237399862,23.939400626903645,4.2223545995100706e-05,0.19551265662232648,5.068276405355977,0.19551265662232648,23.815157671775115,23.815157671775115,252.0237658499829,-29.374552990052102,True,61220.0,230073934.85714564
A_M_2.1999999999999997_1.0_262,111475,61209.020938808106,2461209.5213110056,70080196.77098593,-34.28467100677347,248.49506315259225,-1.1591080783497432,-29.56349482012017,-0.0598958490836847,-31749574.45790315,-195896653.07333615,-94912677.37240484,25.230786401039605,31.99167390739226,15.404752902113334,-9404085.704325594,-139183655.8926947,-60335964.651089065,29.41365581271354,-2.1581496343957283,-0.7739367854623797,11.606861995596269,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,23.08,0.15,33.6,29.2,r,1.081997632507097,1.2530384823687313,23.861549806769485,249.8533704737296,-28.873372796477504,-135.56635819042756,23.08,22.988786150602937,22.988786150602937,23.828644220841486,1.7108418356520653e-05,0.09715861202998549,10.682340057027375,0.09715861202998549,23.029838496476415,23.029838496476415,248.49508128322884,-29.563495800769616,True,61220.0,219981704.89745542
A_M_2.1999999999999997_1.0_262,111476,61209.02138673564,2461209.5217590057,70078869.5412936,-34.28372569025373,248.4944661220809,-1.159206836826696,-29.56352164623496,-0.0598635225623592,-31748597.73242824,-195895414.62131965,-94912081.02826013,25.230801727700303,31.991768451190083,15.404798709276577,-9402947.163143842,-139183739.4162407,-60335994.6063598,29.41471668870821,-2.157507749562964,-0.7738507351878412,11.607543893391233,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,23.08,0.15,33.6,29.2,r,1.0554623654929434,1.2207571356361842,23.918234538206736,246.60136047967362,-29.669807632831503,-134.05747202645122,23.08,22.988754923865017,22.988754923865017,23.841301450825405,1.6516375625578682e-05,0.09610672240075961,10.804568637777194,0.09610672240075961,22.908081932688013,22.908081932688013,248.49446794621724,-29.563509299296722,True,61220.0,219980203.774679
A_M_2.1999999999999997_1.0_262,113447,61212.03835960083,2461212.538732005,61439763.27040715,-32.376392220783124,244.01973656970108,-1.482619077166062,-29.650581914953516,-0.0103552108389337,-25157941.417082287,-187469586.23986536,-90854584.36977066,25.329847084011394,32.6603120481448,15.728757750537994,-1767756.231507064,-139470642.58251438,-60459763.17459639,29.518775142290924,-0.7513306400416951,-0.1770479988285364,16.705803174681233,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,22.75,0.15,33.6,29.2,i,1.1088077417882805,1.2856541870903655,23.40627425371165,243.75354910105463,-29.279181744607573,93.86904688880962,23.08,22.446227186953337,22.446227186953337,23.40627425371165,1.5780893896855958e-05,0.08763383884124687,11.89618842561352,0.08763383884124687,22.31057420103284,22.31057420103284,244.01976969508095,-29.650583538435132,True,61220.0,209838803.09012306
A_M_2.1999999999999997_1.0_262,113498,61212.06253466277,2461212.5629070047,61372194.00970362,-32.31289728255216,243.9784180924212,-1.487954516666058,-29.65079979429055,-0.0076390215638216,-25105027.959098738,-187401354.7545133,-90821725.0055988,25.33060181915388,32.66593932494155,15.73148496324495,-1706047.1376576193,-139472163.97039878,-60460128.12956997,29.568258918161625,-0.7041802052034496,-0.1724029235002695,16.752306357017446,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,22.58,0.15,33.6,29.2,z,0.7435455672699169,0.8412963105473442,23.32888326283459,243.75354910105463,-29.279181744607573,93.86904688880962,23.08,22.274529421834423,22.274529421834423,23.32888326283459,9.970544939964068e-06,0.08081271876622427,12.941416456102457,0.08081271876622427,22.10370318870885,22.10370318870885,243.97841542796468,-29.65079989024483,True,61220.0,209757278.5999253
A_M_2.1999999999999997_1.0_262,121629,61221.12648353213,2461221.626856002,39242531.07890414,-22.7878711114677,220.77729695920328,-3.3330222589669023,-27.561294130368648,0.6814376796648118,-5173383.008435827,-160897544.7757576,-78054882.42302014,25.536568775100005,35.149312777603306,16.935644582450973,21170833.49068603,-138176037.1786216,-59897470.84979629,29.387485351593657,3.5803559609534386,1.6025764819057295,42.097674671167006,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,22.4,0.15,33.6,29.2,y,0.704432323811663,0.7937132893085924,22.21701758249784,219.33211372991178,-26.79350952638467,-32.907577764322454,23.08,21.521672865115605,21.521672865115605,22.167355270151965,1.3377709084428707e-05,0.11473571882228331,8.971735777951316,0.11473571882228331,21.410709839055023,21.410709839055023,220.77730641682297,-27.561292466989983,True,61220.0,178905976.63770318
A_M_2.1999999999999997_1.0_262,121680,61221.1493025937,2461221.649675002,39197675.094933264,-22.70896825178124,220.69147732824743,-3.33547658503424,-27.545669172426347,0.6879856027166131,-5123032.035002754,-160828233.23045245,-78021486.70496064,25.536804651176816,35.1566687451343,16.93921322168297,21228785.70262381,-138168913.1014137,-59894306.94470556,29.39929897048718,3.6468018106136526,1.6069692006784502,42.19020070575917,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,22.4,0.15,33.6,29.2,y,0.744291629371439,0.8422039286757165,22.100904169969944,219.33211372991178,-26.79350952638467,-32.907577764322454,23.08,21.520809572937498,21.520809572937498,22.062905958120137,1.54320159830053e-05,0.1253411254748159,8.171868474750436,0.1253411254748159,21.460183594697348,21.460183594697348,220.69148127214203,-27.545661290884382,True,61220.0,178827622.1642306
A_M_2.1999999999999997_1.0_262,122686,61222.11714133639,2461222.617514001,37346193.61294913,-21.09611348665956,216.9481242597313,-3.633537459806038,-26.813644661388253,0.8588158685910536,-2987088.6773137194,-157874953.47167873,-76598491.08621159,25.54490045575057,35.47475593858616,17.093538776481214,23650119.891856454,-137840163.60572472,-59751993.16986479,29.31040645803489,4.008003605831739,1.7946714371747434,46.24292866163796,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,22.58,0.15,33.6,29.2,z,0.7749911492961583,0.8795512765160077,23.022752216033414,216.8464933627954,-27.976886127163898,55.413259260494655,23.08,21.667756119741107,21.667756119741107,23.00651961396008,8.235855307269803e-06,0.06329133033482393,16.65943775454602,0.06329133033482393,21.682409116281782,21.682409116281782,216.94812538490947,-26.813655171258397,True,61220.0,175501431.5301596
A_M_2.1999999999999997_1.0_262,122737,61222.14132905787,2461222.641702001,37302192.38344244,-21.008016850538304,216.84962077168265,-3.636038356466484,-26.79277815083929,0.8664891975045541,-2933699.929473327,-157800803.1179817,-76562761.65223588,25.54505302079039,35.4828609197677,17.09747131111942,23711390.82007591,-137831714.97502324,-59748237.7428773,29.324959043104144,4.077833527737798,1.7993120289492004,46.34969968331587,COM,0.412796,1.321502,2.461,5.78,1.189,61261.802647,60796.001439,22.75,0.15,33.6,29.2,i,0.9297278754860012,1.067795468961072,23.09173054119283,216.8464933627954,-27.976886127163898,55.413259260494655,23.08,21.837145532935214,21.837145532935214,23.074457352346943,1.0547764913192845e-05,0.06905392049351963,15.228320186909286,0.06905392049351963,21.73932923371406,21.73932923371406,216.84963133383107,-26.79278780002229,True,61220.0,175418233.1793742
